mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,rank
1.2724478721618653,0.05466333289236756,0.19347400665283204,0.036231447635562776,5,0.75,6,8,"{'model__max_depth': 5, 'model__max_features': 0.75, 'model__min_samples_leaf': 6, 'model__min_samples_split': 8}",0.8715083798882681,0.8370786516853933,0.8258426966292135,0.8370786516853933,0.848314606741573,0.8439645973259683,0.015497214713283487,1,1
1.0032057762145996,0.14634845860862744,0.12202997207641601,0.03233943203719509,5,0.75,4,8,"{'model__max_depth': 5, 'model__max_features': 0.75, 'model__min_samples_leaf': 4, 'model__min_samples_split': 8}",0.8659217877094972,0.8370786516853933,0.8202247191011236,0.8370786516853933,0.8539325842696629,0.8428472788902142,0.015707649624779534,2,2
1.072105598449707,0.09953187404707586,0.07201194763183594,0.011320058806227112,6,0.75,6,8,"{'model__max_depth': 6, 'model__max_features': 0.75, 'model__min_samples_leaf': 6, 'model__min_samples_split': 8}",0.8659217877094972,0.8370786516853933,0.8314606741573034,0.8370786516853933,0.8426966292134831,0.8428472788902139,0.012071988565072581,3,3
0.8631080150604248,0.04847051738709507,0.089622163772583,0.005443523007606431,6,0.75,4,8,"{'model__max_depth': 6, 'model__max_features': 0.75, 'model__min_samples_leaf': 4, 'model__min_samples_split': 8}",0.8603351955307262,0.8370786516853933,0.8258426966292135,0.8370786516853933,0.848314606741573,0.8417299604544599,0.011706296061119401,4,4
0.8050610542297363,0.035798632292790254,0.11404118537902833,0.013995112099435925,5,0.75,3,8,"{'model__max_depth': 5, 'model__max_features': 0.75, 'model__min_samples_leaf': 3, 'model__min_samples_split': 8}",0.8603351955307262,0.8370786516853933,0.8089887640449438,0.8370786516853933,0.8539325842696629,0.8394827694432239,0.017804857493787997,5,5
1.1673494338989259,0.1401721870091261,0.09274706840515137,0.01097061020227976,6,0.75,3,8,"{'model__max_depth': 6, 'model__max_features': 0.75, 'model__min_samples_leaf': 3, 'model__min_samples_split': 8}",0.8603351955307262,0.8258426966292135,0.8146067415730337,0.8370786516853933,0.8595505617977528,0.8394827694432239,0.018155925175450234,5,6
1.0238795757293702,0.07141607951137333,0.10581278800964355,0.010193727925811576,6,sqrt,3,8,"{'model__max_depth': 6, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 8}",0.8491620111731844,0.8258426966292135,0.8202247191011236,0.8370786516853933,0.848314606741573,0.8361245370660976,0.01164477838845816,7,7
0.867203664779663,0.012640537402443055,0.11672506332397461,0.01134371599570476,4,0.75,6,8,"{'model__max_depth': 4, 'model__max_features': 0.75, 'model__min_samples_leaf': 6, 'model__min_samples_split': 8}",0.8435754189944135,0.8314606741573034,0.8258426966292135,0.8314606741573034,0.8370786516853933,0.8338836231247255,0.006008942951749069,8,8
0.8555150985717773,0.22357295551168488,0.1388472080230713,0.011754637176272092,4,0.75,3,8,"{'model__max_depth': 4, 'model__max_features': 0.75, 'model__min_samples_leaf': 3, 'model__min_samples_split': 8}",0.8491620111731844,0.8314606741573034,0.8258426966292135,0.8314606741573034,0.8314606741573034,0.8338773460548616,0.007946036601396724,9,9
1.1796724796295166,0.19947275276055226,0.16815695762634278,0.04525614936340401,4,0.75,4,8,"{'model__max_depth': 4, 'model__max_features': 0.75, 'model__min_samples_leaf': 4, 'model__min_samples_split': 8}",0.8491620111731844,0.8314606741573034,0.8258426966292135,0.8370786516853933,0.8258426966292135,0.8338773460548616,0.008704261385849213,9,10
0.9459961891174317,0.048264231076823226,0.09091176986694335,0.009657387231970776,6,sqrt,4,8,"{'model__max_depth': 6, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8}",0.8491620111731844,0.8258426966292135,0.8146067415730337,0.8370786516853933,0.8426966292134831,0.8338773460548616,0.012309028308029874,9,11
0.9244672298431397,0.031487210409452675,0.10690832138061523,0.016388390118951723,5,sqrt,3,8,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 8}",0.8379888268156425,0.8202247191011236,0.8202247191011236,0.8314606741573034,0.848314606741573,0.8316427091833531,0.010761036278919646,12,12
1.17961745262146,0.10262985454460184,0.18342046737670897,0.0489233728272573,5,sqrt,4,8,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8}",0.8379888268156425,0.8202247191011236,0.8202247191011236,0.8314606741573034,0.848314606741573,0.8316427091833531,0.010761036278919646,12,13
1.0354076862335204,0.13510647571360151,0.1282805919647217,0.03562960930644373,6,sqrt,6,8,"{'model__max_depth': 6, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 6, 'model__min_samples_split': 8}",0.8491620111731844,0.8146067415730337,0.8089887640449438,0.8426966292134831,0.8426966292134831,0.8316301550436256,0.016460430571511257,14,14
0.9209395408630371,0.13693154148754036,0.12091145515441895,0.0203385910118336,5,sqrt,6,8,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 6, 'model__min_samples_split': 8}",0.8379888268156425,0.8202247191011236,0.8146067415730337,0.8202247191011236,0.8370786516853933,0.8260247316552632,0.00962267644487091,15,15
0.9525285243988038,0.2471488809851572,0.1336803436279297,0.012615601763067613,4,sqrt,6,8,"{'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 6, 'model__min_samples_split': 8}",0.8379888268156425,0.8089887640449438,0.8146067415730337,0.8202247191011236,0.8426966292134831,0.8249011361496453,0.01318343083163928,16,16
0.8027501583099366,0.20595681958459083,0.14276223182678222,0.01278161830400435,4,sqrt,3,8,"{'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 8}",0.8379888268156425,0.8089887640449438,0.8146067415730337,0.8202247191011236,0.8370786516853933,0.8237775406440274,0.011784007971824752,17,17
0.6846968650817871,0.00911852304483923,0.12749919891357422,0.011745718201386068,4,sqrt,4,8,"{'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 8}",0.8379888268156425,0.8089887640449438,0.8146067415730337,0.8202247191011236,0.8370786516853933,0.8237775406440274,0.011784007971824752,17,18
