model,model_type,rf_weight,logistic_weight,mean_accuracy,std_accuracy,minimum_accuracy,maximum_accuracy,number_of_scores
ensemble_rf_0.60,ensemble,0.6,0.4,0.8329860021342037,0.02314641233367235,0.7921348314606742,0.8715083798882681,25
ensemble_rf_0.70,ensemble,0.7,0.30000000000000004,0.8316439645973261,0.023266258449440316,0.7921348314606742,0.8707865168539326,25
ensemble_rf_0.50,ensemble,0.5,0.5,0.8316414537693804,0.023385929998313966,0.7865168539325843,0.8707865168539326,25
ensemble_rf_0.80,ensemble,0.8,0.19999999999999996,0.828273178080472,0.023357175311646154,0.7808988764044944,0.8764044943820225,25
ensemble_rf_0.90,ensemble,0.9,0.09999999999999998,0.8278237398782248,0.024760941516064255,0.7808988764044944,0.8820224719101124,25
random_forest,baseline,1.0,0.0,0.827149582574854,0.0235823138717063,0.7808988764044944,0.8764044943820225,25
logistic_regression,baseline,0.0,1.0,0.8260222208273178,0.02413653190466303,0.7752808988764045,0.8659217877094972,25
