model,model_type,rf_weight,logistic_weight,mean_accuracy,std_accuracy,minimum_accuracy,maximum_accuracy,number_of_scores
ensemble_rf_0.50,ensemble,0.5,0.5,0.8349000312063843,0.0406458557223906,0.7657142857142857,0.8813559322033898,5
ensemble_rf_0.60,ensemble,0.6,0.4,0.8348144357062621,0.04086903375090879,0.7657142857142857,0.8813559322033898,5
ensemble_rf_0.70,ensemble,0.7,0.30000000000000004,0.834808090210729,0.0458325932362148,0.7542857142857143,0.8870056497175142,5
ensemble_rf_0.80,ensemble,0.8,0.19999999999999996,0.831405346062222,0.04548894333474878,0.7485714285714286,0.8757062146892656,5
logistic_regression,baseline,0.0,1.0,0.8294747047680632,0.040394498485984476,0.76,0.8757062146892656,5
ensemble_rf_0.90,ensemble,0.9,0.09999999999999998,0.827083913197695,0.04454371414458754,0.7485714285714286,0.8700564971751412,5
random_forest,baseline,1.0,0.0,0.8270177994821044,0.04367745370172403,0.7485714285714286,0.8757062146892656,5
